slug,display_name,status,source_url,retrieved_utc,file_rel_path,license_note,notes
shane-claiborne,Shane Claiborne,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
shannon-kiser,Shannon Kiser,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
skye-jethani,Skye Jethani,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
stan-parks,Stan Parks,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
stefan-paas,Stefan Paas,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
steve-addison,Steve Addison,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
steve-taylor,Steve Taylor,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
stuart-murray-williams,Stuart Murray Williams,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
tim-catchim,Tim Catchim,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
tim-chester,Tim Chester,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
tish-harrison-warren,Tish Harrison Warren,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
todd-hunter,Todd Hunter,not-found,,,,,no usable enwiki page with thumbnail in top search results (or disambiguation only)
todd-wilson,Todd Wilson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
tomy-wilkerson,Tomy Wilkerson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
verlon-fosner,Verlon Fosner,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
victor-john,Victor John,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ying-kai,Ying Kai,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
a-j-swoboda,A.J. Swoboda,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
adam-griffin,Adam Griffin,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
adele-calhoun,Adele Calhoun,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
amy-sherman,Amy Sherman,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
andrew-jones,Andrew Jones,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
beth-allison-barr,Beth Allison Barr,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
brian-johnson,Brian Johnson,not-found,,,,,removed wrong enwiki match (football coach); use manual tam-headshot-source
brian-zahnd,Brian Zahnd,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
carey-nieuwhof,Carey Nieuwhof,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
curt-thompson,Curt Thompson,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dan-allender,Dan Allender,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
dan-kimball,Dan Kimball,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
daniel-hill,Daniel Hill,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
david-kinnaman,David Kinnaman,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
david-ruis,David Ruis,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
doug-pagitt,Doug Pagitt,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
emma-cotterill,Emma Cotterill,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
erwin-mcmanus,Erwin McManus,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
evan-mawarire,Evan Mawarire,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
holly-catterton-allen,Holly Catterton Allen,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
j-d-payne,J.D. Payne,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
j-r-briggs,J.R. Briggs,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
james-davison-hunter,James Davison Hunter,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
john-m-perkins,John M. Perkins,ok,https://en.wikipedia.org/wiki/John_Perkins_%28author%29,2026-04-06T05:21:48Z,intelligence/leader-research/profiles/john-m-perkins/media/headshot/john-m-perkins-source.jpg,Wikipedia thumbnail — verify Commons file page before public use; may require attribution,enwiki title: John Perkins (author)
katherine-leary-alsdorf,Katherine Leary Alsdorf,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ken-eldred,Ken Eldred,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mark-cotterill,Mark Cotterill,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
meghan-good,Meghan Good,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
mindy-caliguire,Mindy Caliguire,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
noel-castellanos,Noel Castellanos,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
patrick-lencioni,Patrick Lencioni,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
pete-scazzero,Pete Scazzero,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
preston-sprinkle,Preston Sprinkle,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
r-paul-stevens,R. Paul Stevens,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rick-warren,Rick Warren,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rob-bell,Rob Bell,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rowland-smith,Rowland Smith,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
ruth-haley-barton,Ruth Haley Barton,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
sandra-van-opstal,Sandra Van Opstal,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
scot-mcknight,Scot McKnight,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
soong-chan-rah,Soong-Chan Rah,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
stacy-gaskins,Stacy Gaskins,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
tara-beth-leach,Tara Beth Leach,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
wayne-gordon,Wayne Gordon,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
winfield-bevins,Winfield Bevins,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
zac-hicks,Zac Hicks,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
chuck-degroat,Chuck DeGroat,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
chris-coursey,Chris Coursey,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
diane-langberg,Diane Langberg,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rachael-clinton-chen,Rachael Clinton Chen,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
rob-reimer,Rob Reimer,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
david-g-benner,David G. Benner,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
steve-cuss,Steve Cuss,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
aundi-kolber,Aundi Kolber,not-found,,,,,no enwiki opensearch hit passing last-name + ministry/author heuristics
